Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
ubercorpus_lowercased_lemmatized_word2vec_300d,country-region,,,+,2038,0
ubercorpus_lowercased_lemmatized_word2vec_300d,currency,,,+,729,0
ubercorpus_lowercased_lemmatized_word2vec_300d,singular-plural,1.4285714286,0.0816326531,,1225,70
ubercorpus_lowercased_lemmatized_word2vec_300d,supperlative,67.4242424242,65.3810835629,,1089,1056
ubercorpus_lowercased_lemmatized_word2vec_300d,all,51.904985889,9.2069584081,,23971,4252
ubercorpus_lowercased_tokenized_word2vec_300d,past,86.4583333333,83.8383838384,,1089,1056
ubercorpus_lowercased_tokenized_word2vec_300d,country-nationality,29.3093441672,4.8749879332,,10359,1723
ubercorpus_lowercased_tokenized_word2vec_300d,comparative,61.4705882353,52.25,,400,340
ubercorpus_lowercased_tokenized_word2vec_300d,adjective-adverb,27.8888888889,26.1186264308,,961,900
ubercorpus_lowercased_tokenized_word2vec_300d,opposite,28.75,22.08,,625,480
ubercorpus_lowercased_tokenized_word2vec_300d,verb,82.2704081633,82.1656050955,,785,784
ubercorpus_lowercased_tokenized_word2vec_300d,country-capital,,,+,4271,0
ubercorpus_lowercased_tokenized_word2vec_300d,family,47.5,47.5,,400,400
ubercorpus_lowercased_tokenized_word2vec_300d,country-region,,,+,2038,0
ubercorpus_lowercased_tokenized_word2vec_300d,currency,,,+,729,0
ubercorpus_lowercased_tokenized_word2vec_300d,singular-plural,41.9591836735,41.9591836735,,1225,1225
ubercorpus_lowercased_tokenized_word2vec_300d,supperlative,39.1849529781,34.435261708,,1089,957
ubercorpus_lowercased_tokenized_word2vec_300d,all,47.5524475524,15.6021859747,,23971,7865
ubercorpus_lowercased_tokenized_300d,past,76.7992424242,74.4719926538,,1089,1056
ubercorpus_lowercased_tokenized_300d,country-nationality,24.4921648288,4.0737522927,,10359,1723
ubercorpus_lowercased_tokenized_300d,comparative,46.1764705882,39.25,,400,340
ubercorpus_lowercased_tokenized_300d,adjective-adverb,21.2222222222,19.8751300728,,961,900
ubercorpus_lowercased_tokenized_300d,opposite,27.2916666667,20.96,,625,480
ubercorpus_lowercased_tokenized_300d,verb,78.5714285714,78.4713375796,,785,784
ubercorpus_lowercased_tokenized_300d,country-capital,,,+,4271,0
ubercorpus_lowercased_tokenized_300d,family,59.25,59.25,,400,400
ubercorpus_lowercased_tokenized_300d,country-region,,,+,2038,0
ubercorpus_lowercased_tokenized_300d,currency,,,+,729,0
ubercorpus_lowercased_tokenized_300d,singular-plural,50.8571428571,50.8571428571,,1225,1225
ubercorpus_lowercased_tokenized_300d,supperlative,32.9153605016,28.9256198347,,1089,957
ubercorpus_lowercased_tokenized_300d,all,44.5390972664,14.613491302,,23971,7865
ubercorpus_cased_tokenized_300d,past,74.4318181818,72.1763085399,,1089,1056
ubercorpus_cased_tokenized_300d,country-nationality,25.8445945946,8.8618592528,,10359,3552
ubercorpus_cased_tokenized_300d,comparative,41.4705882353,35.25,,400,340
ubercorpus_cased_tokenized_300d,adjective-adverb,31.2222222222,29.2403746098,,961,900
ubercorpus_cased_tokenized_300d,opposite,26.0416666667,20,,625,480
ubercorpus_cased_tokenized_300d,verb,78.9540816327,78.8535031847,,785,784
ubercorpus_cased_tokenized_300d,country-capital,25.8167526406,24.6078201826,,4271,4071
ubercorpus_cased_tokenized_300d,family,62.25,62.25,,400,400
ubercorpus_cased_tokenized_300d,country-region,47.8325859492,47.1050049068,,2038,2007
ubercorpus_cased_tokenized_300d,currency,15.4882154882,12.6200274348,,729,594
ubercorpus_cased_tokenized_300d,singular-plural,54.5306122449,54.5306122449,,1225,1225
ubercorpus_cased_tokenized_300d,supperlative,21.5256008359,18.9164370983,,1089,957
ubercorpus_cased_tokenized_300d,all,37.2479530734,25.4307287973,,23971,16366
ubercorpus_cased_lemmatized_300d,past,,,+,1089,0
ubercorpus_cased_lemmatized_300d,country-nationality,41.6612164814,12.2984844097,,10359,3058
ubercorpus_cased_lemmatized_300d,comparative,63.5,63.5,,400,400
ubercorpus_cased_lemmatized_300d,adjective-adverb,37.2636262514,34.8595213319,,961,899
ubercorpus_cased_lemmatized_300d,opposite,35.8851674641,24,,625,418
ubercorpus_cased_lemmatized_300d,verb,,,+,785,0
ubercorpus_cased_lemmatized_300d,country-capital,41.3330017409,38.9136033716,,4271,4021
ubercorpus_cased_lemmatized_300d,family,66.253869969,53.5,,400,323
ubercorpus_cased_lemmatized_300d,country-region,68.8091679123,67.7625122669,,2038,2007
ubercorpus_cased_lemmatized_300d,currency,23.4006734007,19.0672153635,,729,594
ubercorpus_cased_lemmatized_300d,singular-plural,2.8571428571,0.1632653061,,1225,70
ubercorpus_cased_lemmatized_300d,supperlative,56.9128787879,55.1882460973,,1089,1056
ubercorpus_cased_lemmatized_300d,all,46.8005604858,25.080305369,,23971,12846
ubercorpus_cased_lemmatized_word2vec_300d,past,,,+,1089,0
ubercorpus_cased_lemmatized_word2vec_300d,country-nationality,49.3459777632,14.5670431509,,10359,3058
ubercorpus_cased_lemmatized_word2vec_300d,comparative,66,66,,400,400
ubercorpus_cased_lemmatized_word2vec_300d,adjective-adverb,47.0522803115,44.0166493236,,961,899
ubercorpus_cased_lemmatized_word2vec_300d,opposite,36.3636363636,24.32,,625,418
ubercorpus_cased_lemmatized_word2vec_300d,verb,,,+,785,0
ubercorpus_cased_lemmatized_word2vec_300d,country-capital,43.8696841582,41.3018028565,,4271,4021
ubercorpus_cased_lemmatized_word2vec_300d,family,62.5386996904,50.5,,400,323
ubercorpus_cased_lemmatized_word2vec_300d,country-region,56.3527653214,55.4955839058,,2038,2007
ubercorpus_cased_lemmatized_word2vec_300d,currency,26.5993265993,21.6735253772,,729,594
ubercorpus_cased_lemmatized_word2vec_300d,singular-plural,1.4285714286,0.0816326531,,1225,70
ubercorpus_cased_lemmatized_word2vec_300d,supperlative,67.4242424242,65.3810835629,,1089,1056
ubercorpus_cased_lemmatized_word2vec_300d,all,49.1670558929,26.3485044429,,23971,12846
fiction_cased_lemmatized_word2vec_300d,past,,,+,1089,0
fiction_cased_lemmatized_word2vec_300d,country-nationality,15.4078549849,0.492325514,,10359,331
fiction_cased_lemmatized_word2vec_300d,comparative,57.75,57.75,,400,400
fiction_cased_lemmatized_word2vec_300d,adjective-adverb,30.8965517241,23.3090530697,,961,725
fiction_cased_lemmatized_word2vec_300d,opposite,16.2393162393,3.04,,625,117
fiction_cased_lemmatized_word2vec_300d,verb,,,+,785,0
fiction_cased_lemmatized_word2vec_300d,country-capital,2.4390243902,0.1170686022,,4271,205
fiction_cased_lemmatized_word2vec_300d,family,49.6710526316,37.75,,400,304
fiction_cased_lemmatized_word2vec_300d,country-region,33.6363636364,3.6310107949,,2038,220
fiction_cased_lemmatized_word2vec_300d,currency,2.5,0.548696845,,729,160
fiction_cased_lemmatized_word2vec_300d,singular-plural,2.9411764706,0.1632653061,,1225,68
fiction_cased_lemmatized_word2vec_300d,supperlative,14.2191142191,11.2029384757,,1089,858
fiction_cased_lemmatized_word2vec_300d,all,26.0625737898,3.6836177047,,23971,3388
fiction_cased_tokenized_300d,past,20.4938271605,15.2433425161,,1089,810
fiction_cased_tokenized_300d,country-nationality,0,0,,10359,143
fiction_cased_tokenized_300d,comparative,2.9166666667,1.75,,400,240
fiction_cased_tokenized_300d,adjective-adverb,4.1538461538,2.8095733611,,961,650
fiction_cased_tokenized_300d,opposite,5,1.12,,625,140
fiction_cased_tokenized_300d,verb,29.6,23.5668789809,,785,625
fiction_cased_tokenized_300d,country-capital,0,0,,4271,68
fiction_cased_tokenized_300d,family,25.4385964912,21.75,,400,342
fiction_cased_tokenized_300d,country-region,0,0,,2038,44
fiction_cased_tokenized_300d,currency,0,0,,729,21
fiction_cased_tokenized_300d,singular-plural,7.0564516129,5.7142857143,,1225,992
fiction_cased_tokenized_300d,supperlative,1.2626262626,0.4591368228,,1089,396
fiction_cased_tokenized_300d,all,12.3909639902,2.3111259438,,23971,4471
fiction_lowercased_tokenized_300d,past,23.2098765432,17.2635445363,,1089,810
fiction_lowercased_tokenized_300d,country-nationality,0,0,,10359,95
fiction_lowercased_tokenized_300d,comparative,4.1666666667,2.5,,400,240
fiction_lowercased_tokenized_300d,adjective-adverb,3.0423280423,2.3933402706,,961,756
fiction_lowercased_tokenized_300d,opposite,6,1.44,,625,150
fiction_lowercased_tokenized_300d,verb,32.48,25.8598726115,,785,625
fiction_lowercased_tokenized_300d,country-capital,,,+,4271,0
fiction_lowercased_tokenized_300d,family,32.1637426901,27.5,,400,342
fiction_lowercased_tokenized_300d,country-region,,,+,2038,0
fiction_lowercased_tokenized_300d,currency,,,+,729,0
fiction_lowercased_tokenized_300d,singular-plural,5.7459677419,4.6530612245,,1225,992
fiction_lowercased_tokenized_300d,supperlative,1.2626262626,0.4591368228,,1089,396
fiction_lowercased_tokenized_300d,all,13.7312755334,2.5238830253,,23971,4406
fiction_cased_tokenized_word2vec_300d,past,49.8765432099,37.0982552801,,1089,810
fiction_cased_tokenized_word2vec_300d,country-nationality,9.0909090909,0.1254947389,,10359,143
fiction_cased_tokenized_word2vec_300d,comparative,13.75,8.25,,400,240
fiction_cased_tokenized_word2vec_300d,adjective-adverb,7.3846153846,4.9947970864,,961,650
fiction_cased_tokenized_word2vec_300d,opposite,11.4285714286,2.56,,625,140
fiction_cased_tokenized_word2vec_300d,verb,60.16,47.898089172,,785,625
fiction_cased_tokenized_word2vec_300d,country-capital,4.4117647059,0.0702411613,,4271,68
fiction_cased_tokenized_word2vec_300d,family,40.350877193,34.5,,400,342
fiction_cased_tokenized_word2vec_300d,country-region,0,0,,2038,44
fiction_cased_tokenized_word2vec_300d,currency,0,0,,729,21
fiction_cased_tokenized_word2vec_300d,singular-plural,22.0766129032,17.8775510204,,1225,992
fiction_cased_tokenized_word2vec_300d,supperlative,2.2727272727,0.826446281,,1089,396
fiction_cased_tokenized_word2vec_300d,all,28.1592484903,5.2521797172,,23971,4471
fiction_lowercased_tokenized_word2vec_300d,past,48.024691358,35.7208448118,,1089,810
fiction_lowercased_tokenized_word2vec_300d,country-nationality,5.2631578947,0.0482672073,,10359,95
fiction_lowercased_tokenized_word2vec_300d,comparative,15.4166666667,9.25,,400,240
fiction_lowercased_tokenized_word2vec_300d,adjective-adverb,6.8783068783,5.4110301769,,961,756
fiction_lowercased_tokenized_word2vec_300d,opposite,11.3333333333,2.72,,625,150
fiction_lowercased_tokenized_word2vec_300d,verb,58.4,46.4968152866,,785,625
fiction_lowercased_tokenized_word2vec_300d,country-capital,,,+,4271,0
fiction_lowercased_tokenized_word2vec_300d,family,40.350877193,34.5,,400,342
fiction_lowercased_tokenized_word2vec_300d,country-region,,,+,2038,0
fiction_lowercased_tokenized_word2vec_300d,currency,,,+,729,0
fiction_lowercased_tokenized_word2vec_300d,singular-plural,16.0282258065,12.9795918367,,1225,992
fiction_lowercased_tokenized_word2vec_300d,supperlative,1.5151515152,0.5509641873,,1089,396
fiction_lowercased_tokenized_word2vec_300d,all,26.5093054925,4.8725543365,,23971,4406
fiction_lowercased_lemmatized_300d,past,,,+,1089,0
fiction_lowercased_lemmatized_300d,country-nationality,2.7027027027,0.0289603244,,10359,111
fiction_lowercased_lemmatized_300d,comparative,26,26,,400,400
fiction_lowercased_lemmatized_300d,adjective-adverb,13.2413793103,9.9895941727,,961,725
fiction_lowercased_lemmatized_300d,opposite,9.4017094017,1.76,,625,117
fiction_lowercased_lemmatized_300d,verb,,,+,785,0
fiction_lowercased_lemmatized_300d,country-capital,,,+,4271,0
fiction_lowercased_lemmatized_300d,family,49.0131578947,37.25,,400,304
fiction_lowercased_lemmatized_300d,country-region,,,+,2038,0
fiction_lowercased_lemmatized_300d,currency,,,+,729,0
fiction_lowercased_lemmatized_300d,singular-plural,2.9411764706,0.1632653061,,1225,68
fiction_lowercased_lemmatized_300d,supperlative,9.4405594406,7.4380165289,,1089,858
fiction_lowercased_lemmatized_300d,all,17.266744096,1.860581536,,23971,2583
fiction_lowercased_lemmatized_word2vec_300d,past,,,+,1089,0
fiction_lowercased_lemmatized_word2vec_300d,country-nationality,13.5135135135,0.1448016218,,10359,111
fiction_lowercased_lemmatized_word2vec_300d,comparative,60.5,60.5,,400,400
fiction_lowercased_lemmatized_word2vec_300d,adjective-adverb,29.6551724138,22.372528616,,961,725
fiction_lowercased_lemmatized_word2vec_300d,opposite,13.6752136752,2.56,,625,117
fiction_lowercased_lemmatized_word2vec_300d,verb,,,+,785,0
fiction_lowercased_lemmatized_word2vec_300d,country-capital,,,+,4271,0
fiction_lowercased_lemmatized_word2vec_300d,family,53.6184210526,40.75,,400,304
fiction_lowercased_lemmatized_word2vec_300d,country-region,,,+,2038,0
fiction_lowercased_lemmatized_word2vec_300d,currency,,,+,729,0
fiction_lowercased_lemmatized_word2vec_300d,singular-plural,2.9411764706,0.1632653061,,1225,68
fiction_lowercased_lemmatized_word2vec_300d,supperlative,12.1212121212,9.5500459137,,1089,858
fiction_lowercased_lemmatized_word2vec_300d,all,29.3070073558,3.1579825623,,23971,2583
fiction_cased_lemmatized_300d,past,,,+,1089,0
fiction_cased_lemmatized_300d,country-nationality,4.2296072508,0.1351481803,,10359,331
fiction_cased_lemmatized_300d,comparative,37.75,37.75,,400,400
fiction_cased_lemmatized_300d,adjective-adverb,9.9310344828,7.4921956296,,961,725
fiction_cased_lemmatized_300d,opposite,6.8376068376,1.28,,625,117
fiction_cased_lemmatized_300d,verb,,,+,785,0
fiction_cased_lemmatized_300d,country-capital,2.9268292683,0.1404823226,,4271,205
fiction_cased_lemmatized_300d,family,47.0394736842,35.75,,400,304
fiction_cased_lemmatized_300d,country-region,4.0909090909,0.441609421,,2038,220
fiction_cased_lemmatized_300d,currency,3.125,0.6858710562,,729,160
fiction_cased_lemmatized_300d,singular-plural,2.9411764706,0.1632653061,,1225,68
fiction_cased_lemmatized_300d,supperlative,14.4522144522,11.3865932048,,1089,858
fiction_cased_lemmatized_300d,all,15.7615112161,2.2276917943,,23971,3388
news_cased_tokenized_300d,past,71.2609970674,66.9421487603,,1089,1023
news_cased_tokenized_300d,country-nationality,19.7101449275,5.2514721498,,10359,2760
news_cased_tokenized_300d,comparative,35.3333333333,26.5,,400,300
news_cased_tokenized_300d,adjective-adverb,26.5517241379,24.0374609781,,961,870
news_cased_tokenized_300d,opposite,29.5652173913,21.76,,625,460
news_cased_tokenized_300d,verb,74.2346938776,74.1401273885,,785,784
news_cased_tokenized_300d,country-capital,14.145258484,10.4425193163,,4271,3153
news_cased_tokenized_300d,family,45.25,45.25,,400,400
news_cased_tokenized_300d,country-region,24.4145490782,24.0431795878,,2038,2007
news_cased_tokenized_300d,currency,7.2222222222,5.3497942387,,729,540
news_cased_tokenized_300d,singular-plural,46.5306122449,46.5306122449,,1225,1225
news_cased_tokenized_300d,supperlative,18.7645687646,14.7842056933,,1089,858
news_cased_tokenized_300d,all,29.3115438108,17.5837470277,,23971,14380
